中文电影名,英文电影名,其他电影名,评分
闻香识女人,Scent of a Woman,女人香  /  女人的芳香,9.1
辩护人,변호인,逆权大状(港)  /  正义辩护人(台),9.2
天堂电影院,Nuovo Cinema Paradiso,星光伴我心(港)  /  新天堂乐园(台),9.2
猫鼠游戏,Catch Me If You Can,逍遥法外  /  捉智双雄(港),9.0
大闹天宫,大闹天宫 上下集  /  The Monkey King,-,9.4
钢琴家,The Pianist,钢琴战曲(港)  /  战地琴人(台),9.2
指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,魔戒二部曲：双城奇谋  /  指环王II：双塔,9.1
教父2,The Godfather: Part Ⅱ,教父续集(港)  /  教父II,9.2
狮子王,The Lion King,狮子王3D,9.0
搏击俱乐部,Fight Club,搏击会(港)  /  斗阵俱乐部(台),9.0
死亡诗社,Dead Poets Society,暴雨骄阳(港)  /  春风化雨(台),9.1
黑客帝国,The Matrix,22世纪杀人网络(港)  /  廿二世纪杀人网络(港),9.0
指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,指环王1：魔戒再现  /  指环王I：护戒使者,9.0
让子弹飞,让子弹飞一会儿  /  火烧云,-,8.9
绿皮书,Green Book,绿簿旅友(港)  /  幸福绿皮书(台),8.9
饮食男女,飲食男女,Eat Drink Man Woman,9.1
美丽心灵,A Beautiful Mind,有你终生美丽(港)  /  美丽境界(台),9.0
窃听风暴,Das Leben der Anderen,窃听者(港)  /  他人的生活,9.2
海蒂和爷爷,Heidi,飘零燕(港)  /  海蒂,9.2
两杆大烟枪,"Lock, Stock and Two Smoking Barrels",够姜四小强(港)  /  两根枪管(台),9.1
本杰明·巴顿奇事,The Curious Case of Benjamin Button,奇幻逆缘(港)  /  班杰明的奇幻旅程(台),8.9
看不见的客人,Contratiempo,死无对证(港)  /  布局(台),8.8
飞越疯人院,One Flew Over the Cuckoo's Nest,飞越杜鹃窝(台)  /  飞越喜鹊巢,9.1
西西里的美丽传说,Malèna,真爱伴我行(台)  /  玛莲娜,8.9
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,穿条纹衣服的男孩  /  穿条纹衣的男孩,9.1
拯救大兵瑞恩,Saving Private Ryan,雷霆救兵(港)  /  抢救雷恩大兵(台),9.0
小鞋子,بچههای آسمان,天堂的孩子  /  小童鞋,9.2
音乐之声,The Sound of Music,仙乐飘飘处处闻(港)  /  真善美(台),9.1
情书,Love Letter,When I Close My Eyes  /  Letters of Love,8.9
海豚湾,The Cove,血色海湾(台)  /  海湾,9.3
阿凡达,Avatar,天神下凡(港)  /  化身,8.8
致命魔术,The Prestige,顶尖对决(台)  /  死亡魔法(港),8.9
美国往事,Once Upon a Time in America,四海兄弟(台)  /  义薄云天(港),9.2
